,0,1,2,3,4,5
33829,157.0,171.0,15.0,90.0,103.0,151.0
3897,53.0,59.0,-12.0,36.0,29.0,33.0
53430,143.0,147.0,-17.0,68.0,65.0,106.0
52967,163.0,251.0,-20.0,299.0,512.0,370.0
53368,-1.0,-3.0,-3.0,0.0,-3.0,-2.0
34511,37.0,29.0,1.0,28.0,24.0,26.0
21528,115.0,106.0,64.0,98.0,86.0,136.0
53519,-545.0,-432.0,-168.0,-174.0,88.0,-141.0
42256,4.0,5.0,13.0,6.0,12.0,9.0
53232,15.0,15.0,2.0,9.0,-4.0,13.0
53389,249.0,251.0,62.0,254.0,156.0,219.0
42187,62.0,66.0,10.0,48.0,21.0,30.0
53403,1780.0,1838.0,94.0,1386.0,1250.0,1344.0
30426,-4.0,-3.0,-3.0,1.0,5.0,4.0
34477,277.0,379.0,74.0,156.0,216.0,260.0
34462,9.0,6.0,0.0,9.0,3.0,9.0
53230,16.0,26.0,1.0,7.0,7.0,31.0
53283,15.0,-6.0,-1.0,26.0,71.0,54.0
53272,-8.0,-12.0,0.0,-4.0,-2.0,-10.0
9057,-42.0,-40.0,-11.0,-25.0,17.0,-16.0
35778,-147.0,-86.0,-103.0,-129.0,45.0,-75.0
53499,6.0,8.0,-4.0,0.0,4.0,2.0
53559,1.0,17.0,-5.0,2.0,24.0,27.0
53286,1236.0,1195.0,188.0,746.0,896.0,972.0
53538,9.0,18.0,2.0,8.0,6.0,-3.0
53285,21.0,22.0,-13.0,14.0,19.0,12.0
53019,-24.0,1.0,-16.0,-23.0,-12.0,-18.0
53562,-48.0,-38.0,-19.0,-8.0,12.0,-6.0
36430,9.0,-7.0,-56.0,38.0,55.0,13.0
53705,305.0,264.0,115.0,119.0,275.0,364.0
37125,20.0,20.0,5.0,25.0,5.0,5.0
53444,-52.0,16.0,-9.0,-26.0,133.0,27.0
53463,-8.0,-12.0,-6.0,-4.0,2.0,-4.0
36504,38.0,15.0,-50.0,49.0,47.0,24.0
53703,58.0,44.0,26.0,54.0,18.0,41.0
2297,32.0,29.0,20.0,10.0,22.0,22.0
53215,-71.0,-12.0,-75.0,-41.0,206.0,6.0
11934,-20.0,-25.0,-8.0,-15.0,10.0,12.0
53505,0.0,2.0,-17.0,1.0,4.0,7.0
53660,-27.0,8.0,-38.0,-25.0,16.0,-15.0
36466,-29.0,-11.0,-29.0,-39.0,46.0,-21.0
34465,437.0,409.0,117.0,356.0,164.0,256.0
5514,2.0,19.0,22.0,20.0,23.0,-8.0
53124,-22.0,-26.0,-1.0,-5.0,13.0,4.0
32369,35.0,38.0,1.0,37.0,44.0,33.0
34424,-30.0,18.0,-30.0,0.0,-12.0,30.0
53795,-7.0,-6.0,1.0,-7.0,-5.0,-10.0
1839,51.0,29.0,21.0,73.0,95.0,59.0
42614,18.0,18.0,2.0,10.0,2.0,12.0
35821,1034.0,939.0,18.0,572.0,522.0,788.0
37126,-17.0,-16.0,-20.0,-11.0,7.0,-9.0
53383,370.0,439.0,35.0,300.0,261.0,325.0
53498,-14.0,-27.0,-50.0,29.0,80.0,44.0
53243,30.0,33.0,18.0,6.0,21.0,12.0
35763,-541.0,-612.0,-218.0,-207.0,19.0,-90.0
35771,-17.0,-4.0,-71.0,16.0,159.0,27.0
